titulo,url,categoria,fecha
Cuatro ganaderías lanzarán en febrero Leche Madriz  la leche 100% madrileña,https://www.telemadrid.es/programas/buenos-dias-madrid/Cuatro-ganaderias-lanzaran-en-febrero-Leche-Madriz-la-leche-100-madrilena-2-2633756601--20240115085919.html,programas,2024/01/15
Así es un día de preparación de la Bripac,https://www.telemadrid.es/programas/ruta-179/Asi-es-un-dia-de-preparacion-de-la-Bripac-2-2632556765--20240111111700.html,programas,2024/01/11
La OMS advierte de una enfermedad X,https://www.telemadrid.es/salud/La-OMS-advierte-de-una-enfermedad-X-0-2633736653--20240115054705.html,salud,2024/01/15
Una reina de Inglaterra nacida en Alcalá de Henares,https://www.telemadrid.es/noticias/madrid/Una-reina-de-Inglaterra-nacida-en-Alcala-de-Henares-0-2632836732--20240112081200.html,noticias,2024/01/12
Palos y botellas en la pelea entre ultras de Bukaneros y Brigadas Alcalaínas,https://www.telemadrid.es/noticias/madrid/Palos-latas-de-cerveza-botellas-y-cocaina-en-la-pelea-entre-ultras-de-Bukaneros-y-Brigadas-Alcalainas-0-2633736609--20240115105012.html,noticias,2024/01/15
Carmen Machi regresa al teatro con Nuestros actos ocultos en Matadero Madrid,/programas/telenoticias-1/Carmen-Machi-regresa-al-teatro-con-Nuestros-actos-ocultos-en-Matadero-Madrid-2-2633756636--20240115032201.html,programas,2024/01/15
Un paseo por La Mancha en el centro de Madrid,/ocio-y-planes-por-madrid/Un-paseo-por-La-Mancha-en-el-centro-de-Madrid-0-2632236776--20240110080200.html,ocio-y-planes-por-madrid,2024/01/10
Los 10 sitios más instagrameables para hacerse fotos con nieve en Madrid,/ocio-y-planes-por-madrid/Los-10-sitios-mas-instagrameables-para-hacerse-fotos-con-nieve-en-Madrid-0-2632836694--20240112080204.html,ocio-y-planes-por-madrid,2024/01/12
Fin de semana para conocer a la Tía Javiera la de las rosquillas en Fuenlabrada,/ocio-y-planes-por-madrid/Fin-de-semana-para-conocer-a-la-Tia-Javiera-la-de-las-rosquillas-en-Fuenlabrada-0-2632836743--20240112080000.html,ocio-y-planes-por-madrid,2024/01/12
Ciempozuelos celebra este domingo su primera concentración de coches clásicos,/ocio-y-planes-por-madrid/Ciempozuelos-celebra-este-domingo-su-primera-concentracion-de-coches-clasicos-0-2632836747--20240112080000.html,ocio-y-planes-por-madrid,2024/01/12
Fuenlabrada retoma este domingo sus rutas teatralizadas por el casco histórico,/noticias/madrid/Fuenlabrada-retoma-este-domingo-sus-rutas-teatralizadas-por-el-casco-historico-0-2632836772--20240112084826.html,noticias,2024/01/12
Jorge Blass Nuria Espert y el Ballet Nacional de España entre las propuestas del MIRA de Pozuelo de Alarcón,/noticias/madrid/Jorge-Blass-Nuria-Espert-y-el-Ballet-Nacional-de-Espana-entre-las-propuestas-del-MIRA-de-Pozuelo-de-Alarcon-0-2632536778--20240111055841.html,noticias,2024/01/11
Nueva invasión de zombies en Ciempozuelos el 20 de enero,/noticias/madrid/Nueva-invasion-de-zombies-en-Ciempozuelos-el-20-de-enero-0-2632536771--20240111035758.html,noticias,2024/01/11
Las películas candidatas a los Goya en ALCINE de Alcalá,/noticias/madrid/Las-peliculas-candidatas-a-los-Goya-en-ALCINE-de-Alcala-0-2632536767--20240111021954.html,noticias,2024/01/11
7 lugares para disfrutar de la nieve en Madrid,/noticias/madrid/7-lugares-para-disfrutar-de-la-nieve-en-la-Comunidad-de-Madrid-0-2632236785--20240110010956.html,noticias,2024/01/10
Beatbox petanca fotografía y mucho más en el enero cultural de Parla,/noticias/madrid/Beatbox-petanca-fotografia-y-mucho-mas-en-el-enero-cultural-de-Parla-0-2632236780--20240110014635.html,noticias,2024/01/10
Los jueves en Móstoles se pasan en familia,/noticias/madrid/Los-jueves-en-Mostoles-se-pasan-en-familia-0-2632236777--20240110012501.html,noticias,2024/01/10
La Policía Local de Leganés incorpora drones para labores de vigilancia y control,/noticias/madrid/La-Policia-Local-de-Leganes-incorpora-drones-para-labores-de-vigilancia-y-control-0-2633736663--20240115065552.html,noticias,2024/01/15
Comienzan en Getafe las obras para permitir el paso de grandes camiones en un acceso a la A-4,/noticias/madrid/Comienzan-en-Getafe-las-obras-para-permitir-el-paso-de-grandes-camiones-en-un-acceso-a-la-A-4-0-2633736647--20240115063321.html,noticias,2024/01/15
El Hospital de Móstoles celebra este martes su maratón de donación de sangre,/noticias/madrid/El-Hospital-de-Mostoles-celebra-este-martes-su-maraton-de-donacion-de-sangre-0-2633736659--20240115063000.html,noticias,2024/01/15
La Comunidad inicia la comercialización de 434 viviendas en alquiler en Tres Cantos y Sanse,/noticias/madrid/La-Comunidad-inicia-la-comercializacion-de-434-viviendas-en-alquiler-en-Tres-Cantos-y-Sanse-0-2633736652--20240115055545.html,noticias,2024/01/15
Móstoles recupera la Escuela de Abuelos,/noticias/madrid/Mostoles-recupera-la-Escuela-de-Abuelos-para-reforzar-las-relaciones-intergeneracionales-0-2633736651--20240115053657.html,noticias,2024/01/15
San Sebastián de los Reyes estrena un Portal de Empleo para poner en contacto a empresas y trabajadores,/programas/madrid-trabaja/San-Sebastian-de-los-Reyes-estrena-un-Portal-de-Empleo-para-poner-en-contacto-a-empresas-y-trabajadores-9-2633826610--20240115050630.html,programas,2024/01/15
Comienza el derribo del hospital fantasma de Villaviciosa de Odón,/programas/telenoticias-1/Comienza-el-derribo-del-hospital-fantasma-de-Villaviciosa-de-Odon-2-2633756620--20240115030404.html,programas,2024/01/15
Iniciada en Fuenlabrada la instalación de las pantallas acústicas de Cercanías,/noticias/madrid/Iniciada-en-Fuenlabrada-la-instalacion-de-las-pantallas-acusticas-de-Cercanias-0-2633736630--20240115015505.html,noticias,2024/01/15
Getafe entrega 40 nuevas pulseras de localización a niños con TEA,/noticias/madrid/Getafe-entrega-40-nuevas-pulseras-de-localizacion-a-ninos-con-TEA-0-2633736621--20240115121041.html,noticias,2024/01/15
21 municipios madrileños incumplen aún la obligación de implantar zonas de bajas emisiones,/noticias/madrid/21-municipios-madrilenos-incumplen-aun-la-obligacion-de-implantar-zonas-de-bajas-emisiones-0-2633736602--20240115084934.html,noticias,2024/01/15
Alcalá de Henares creará una nueva unidad de Policía Local para mejorar la seguridad en los barrios,/noticias/madrid/Alcala-de-Henares-creara-una-nueva-unidad-de-Policia-Local-para-mejorar-la-seguridad-en-los-barrios-0-2633436640--20240114013008.html,noticias,2024/01/14
Los bomberos extinguen el incendio de una vivienda en Parla sin heridos ni intoxicados,/noticias/madrid/Los-bomberos-extinguen-el-incendio-de-una-vivienda-en-Parla-sin-heridos-ni-intoxicados-0-2633436631--20240114082312.html,noticias,2024/01/14
Telenoticias 2 15.01.2024,/programas/telenoticias-2/Telenoticias-2-15012024-2-2633756657--20240115100021.html,programas,2024/01/15
Telenoticias 1  15.01.2024,/programas/telenoticias-1/Telenoticias-1-15012024-2-2633756641--20240115043807.html,programas,2024/01/15
Telenoticias Fin de semana 2 14.01.2024,/programas/telenoticias-fin-de-semana/Telenoticias-Fin-de-semana-2-14012024-2-2633456651--20240114094558.html,programas,2024/01/14
Feijóo: Todo está previsto para que Puigdemont venga a España no solo con el perdón sino para que le pidamos perdón,/programas/buenos-dias-madrid/Feijoo-Todo-esta-previsto-para-que-Puigdemont-venga-a-Espana-no-solo-con-el-perdon-sino-para-que-le-pidamos-perdon-2-2633756602--20240115111041.html,programas,2024/01/15
Feijóo propone ampliar el tramo exento de IRPF para que el Gobierno no se quede con casi la mitad de la subida del SMI,/programas/buenos-dias-madrid/Feijoo-propone-ampliar-el-tramo-exento-de-IRPF-para-que-el-Gobierno-no-se-quede-con-casi-la-mitad-de-la-subida-del-SMI-2-2633756606--20240115103619.html,programas,2024/01/15
La lava llega a la localidad islandesa de Grindavik,/programas/buenos-dias-madrid/La-lava-llega-a-la-localidad-islandesa-de-Grindavik-2-2633756600--20240115082823.html,programas,2024/01/15
SEPE: Dudas sobre prestaciones y subsidios por desempleo 15.01.2024,/programas/madrid-trabaja/SEPE-Dudas-sobre-prestaciones-y-subsidios-por-desempleo-15012024-9-2633826609--20240115052931.html,programas,2024/01/15
¿Qué debes hacer para trabajar en Sercotel?,/programas/madrid-trabaja/Que-debes-hacer-para-trabajar-en-Sercotel-9-2633826611--20240115052915.html,programas,2024/01/15
Utilizan deepfakes de Taylor Swift y Selena Gomez para una nueva estafa viral,/tecnologia/Utilizan-deepfakes-de-Taylor-Swift-y-Selena-Gomez-para-una-nueva-estafa-viral-0-2633736675--20240115112506.html,tecnologia,2024/01/15
¿Cuánto dinero ha donado Ana Obregón?,/programas/juntos/Cuanto-dinero-ha-donado-Ana-Obregon-a-la-Fundacion-Aless-Lequio-2-2633756663--20240115110605.html,programas,2024/01/15
Isabel Pantoja cumple 50 años en los escenarios,/programas/juntos/Isabel-Pantoja-triunfa-en-Bilbao-en-su-concierto-por-sus-50-anos-sobre-los-escenarios-2-2633756662--20240115110308.html,programas,2024/01/15
Rafael Amargo vuelve a pedir su libertad al considerar que se vulneran sus derechos,/gente/Rafael-Amargo-vuelve-a-pedir-su-libertad-al-considerar-que-se-vulneran-sus-derechos-0-2633736674--20240115092806.html,gente,2024/01/15
Julio Iglesias retenido en el aeropuerto de República Dominicana por llevar más de 42 kilos de comida en la maleta,/programas/telenoticias-1/Julio-Iglesias-retenido-en-el-aeropuerto-de-Republica-Dominicana-por-llevar-mas-de-42-kilos-de-comida-en-la-maleta-2-2633756635--20240115032046.html,programas,2024/01/15
La relación de Enrique Iglesias con su familia,/programas/juntos-y/Por-que-Enrique-Iglesias-no-asiste-a-las-celebraciones-de-su-familia-2-2633156662--20240113032326.html,programas,2024/01/13
Guerra abierta entre los hijos de Alain Delon por sus cuidados,/gente/Guerra-abierta-entre-los-hijos-de-Alain-Delon-por-sus-cuidados-0-2632836775--20240112095309.html,gente,2024/01/12
Ha*Ash regresa a Madrid con su gira,/programas/madrid-directo/HaAsh-regresa-a-Madrid-con-su-gira-Mi-Salida-Contigo-2-2632856741--20240112084607.html,programas,2024/01/12
Nerea Pérez de las Heras se sincera sobre su nueva vida tras perder una pierna en un fatal accidente,/gente/Nerea-Perez-de-las-Heras-se-sincera-sobre-su-nueva-vida-tras-perder-una-pierna-en-un-fatal-accidente-0-2632836728--20240112062820.html,gente,2024/01/12
El biopic de Michael Jackson se estrenará en 2025 protagonizado por su sobrino,/gente/El-biopic-de-Michael-Jackson-se-estrenara-en-2025-protagonizado-por-su-sobrino-0-2632836706--20240112102610.html,gente,2024/01/12
El director  de Parásitos Bong Joon-ho y otros artistas exigen investigar a fondo la muerte del actor Lee Sun-kyun,/gente/El-director-de-Parasitos-Bong-Joon-ho-y-otros-artistas-exigen-investigar-a-fondo-la-muerte-del-actor-Lee-Sun-kyun-0-2632836698--20240112095126.html,gente,2024/01/12
Isabel Pantoja abandona Cantora y se muda a Madrid,/programas/juntos/Isabel-Pantoja-abandonara-Cantora-y-se-mudara-a-Madrid-2-2632556785--20240111010240.html,programas,2024/01/11
Nokia trabajará para al Gobierno de EEUU en soluciones privadas de comunicaciones,/tecnologia/Nokia-trabajara-para-al-Gobierno-de-EEUU-en-soluciones-privadas-de-comunicaciones-0-2633736656--20240115063211.html,tecnologia,2024/01/15
¿Qué es el R1 de Rabbit y por qué es el gadget más deseado?,/tecnologia/Que-es-el-R1-de-Rabbit-y-por-que-es-el-gadget-mas-deseado-0-2632836771--20240112094654.html,tecnologia,2024/01/12
Televisiones transparentes móviles flexibles o gafas para oír mejor estas son las novedades tecnológicas para 2024,/tecnologia/Televisiones-transparentes-moviles-flexibles-o-gafas-para-oir-mejor-estas-son-las-novedades-tecnologicas-para-2024-0-2632836752--20240112072938.html,tecnologia,2024/01/12
Estos son los Óscar científicos y técnicos también hay premios para la tecnología,/noticias/cultura/Estos-son-los-Oscar-cientificos-y-tecnicos-tambien-hay-premios-para-la-tecnologia-0-2632536792--20240111112215.html,noticias,2024/01/11
Movistar y O2 implantan una verificación avanzada por selfie,/tecnologia/Movistar-y-O2-implantan-una-verificacion-avanzada-por-selfie-0-2632536786--20240111081558.html,tecnologia,2024/01/11
Demandan a Facebook e Instagram por su modelo de pago por privacidad,/tecnologia/Demandan-a-Facebook-e-Instagram-por-su-modelo-de-pago-por-privacidad-0-2632536756--20240111123642.html,tecnologia,2024/01/11
OpenAI lanza GPT Store una tienda virtual de apps personalizadas de inteligencia artificial,/tecnologia/OpenAI-lanza-GPT-Store-una-tienda-virtual-de-apps-personalizadas-de-inteligencia-artificial-0-2632236819--20240110081511.html,tecnologia,2024/01/10
Drones con IA para encontrar contra reloj a personas desaparecidas,/tecnologia/Drones-con-IA-para-encontrar-contra-reloj-a-personas-desaparecidas-0-2631936851--20240109091935.html,tecnologia,2024/01/09
Instagram y Facebook aplicarán nuevas restricciones de contenido a los usuarios adolescentes,/tecnologia/Instagram-y-Facebook-aplicaran-nuevas-restricciones-de-contenido-a-los-usuarios-adolescentes-0-2631936830--20240109060848.html,tecnologia,2024/01/09
Un error informático una falsa acusación y un escándalo en Reino Unido,/noticias/sociedad/Un-error-informatico-una-falsa-acusacion-y-un-escandalo-en-Reino-Unido-0-2631936822--20240109035922.html,noticias,2024/01/09
Sony presenta un coche conducido con el mando de la PlayStation,/programas/telenoticias-1/Sony-presenta-un-coche-conducido-con-el-mando-de-la-PlayStation-2-2631956807--20240109032417.html,programas,2024/01/09
9 de enero de 2007: el día en que Steve Jobs hizo historia con el primer iPhone,/tecnologia/9-de-enero-de-2007-el-dia-en-que-Steve-Jobs-hizo-historia-con-el-primer-iPhone-0-2631936787--20240109112110.html,tecnologia,2024/01/09
Cepyme alerta de que la subida del SMI tendrá un gran impacto en la pequeña y mediana empresa,/programas/120-minutos/Cepyme-alerta-de-que-la-subida-del-SMI-tendra-un-gran-impacto-en-la-pequena-y-mediana-empresa-2-2633756614--20240115022947.html,programas,2024/01/15
